Date,Island,Set,Bottom type,Latitude,Longitude,,,
12/8/17,Oahu,1,Sandy,21°16.497 ,157°40.783 W,,,
12/8/17,Oahu,2,"sandy, seagrass",21°16.438  ,157°40.794 W,,,
12/8/17,Oahu,3,sandy,21°16.438  ,157°40.794 W,,,
12/8/17,Oahu,4,sandy,21°16.5281  ,157°40.7377 W,,,
12/8/17,Oahu,4,sandy,21°16.5281  ,157°40.7377 W,,,
12/8/17,Oahu,5,sandy,21°16.4701  ,157°40.7811 W,,,
12/8/17,Oahu,5,sandy,21°16.4701  ,157°40.7811 W,,,
12/8/17,Oahu,6,sandy,21°16.460  ,157°40.731 W,,,
12/8/17,Oahu,7,"sandy, seagrass",21°16.4888  ,157°40.7213 W,,,
12/16/17,Maui,1,"sandy, rubble",20°56.889 ,156°29.357 W,,,
12/16/17,Maui,2,sandy -strong bottom current,20°56.899 ,156°29.451 W,,,
12/16/17,Maui,5,sandy,20°57.024 ,156°29.598 W,,,
12/16/17,Maui,6,sandy -strong bottom current,20°56.980 ,156°29.504 W,,,
12/16/17,Maui,7,rock and rubble,20°56.922 ,156°29.425 W,,,
12/16/17,Maui,9,coral bottom,20°56.841 ,156°29.257 W,,,
12/16/17,Maui,10,sandy,20°57.027 ,156°29.427 W,,,
1/10/18,Oahu,1,seaweed,21°17.287 ,158°00.370 W,,,
1/10/18,Oahu,1,seaweed,21°17.287 ,158°00.370 W,,,
1/10/18,Oahu,2,sandy,21°17.426 ,158°00.938 W,,,
1/10/18,Oahu,2,sandy,21°17.426 ,158°00.938 W,,,
1/10/18,Oahu,3,seagrass and algae,21°17.350 ,158°00.125 W,,,
1/10/18,Oahu,3,seagrass and algae,21°17.350 ,158°00.125 W,,,
1/10/18,Oahu,3,seagrass and algae,21°17.350 ,158°00.125 W,,,
1/10/18,Oahu,4,sandy,21°17.433 ,158°00.200 W,,,
1/11/18,Oahu,2,sandy,21°26.431 ,158°12.021 W,,,
1/11/18,Oahu,2,sandy,21°26.431 ,158°12.021 W,,,
1/11/18,Oahu,3,"sandy, seagrass",21°26.581 ,158°11.844 W,,,
1/11/18,Oahu,3,"sandy, seagrass",21°26.581 ,158°11.844 W,,,
1/11/18,Oahu,4,sandy,21°28.368 ,158°13.884 W,,,
1/15/18,Oahu,2,sandy,21°28.248 ,158°13.694 W,,,
1/15/18,Oahu,3,sandy,21°28.305 ,158°13.857 W,,,
1/15/18,Oahu,3,sandy,21°28.305 ,158°13.857 W,,,
1/15/18,Oahu,4,hard sand,21°28.412 ,158°13.913 W,,,
1/15/18,Oahu,4,hard sand,21°28.412 ,158°13.913 W,,,
1/16/18,Oahu,1,sandy,21°28.399 ,158°13.666 W,,,
1/16/18,Oahu,1,sandy,21°28.399 ,158°13.666 W,,,
1/16/18,Oahu,2,hard sand,21°26.555 ,158°11.747 W,,,
1/16/18,Oahu,2,hard sand,21°26.555 ,158°11.747 W,,,
1/16/18,Oahu,2,hard sand,21°26.555 ,158°11.747 W,,,
1/16/18,Oahu,3,sandy,21°26.547 ,158°11.615 W,,,
1/20/18,Kauai,1,rubble seaweed,21°59.151 ,160°08.462 W,,,
1/20/18,Kauai,2,sandy,21°59.390 ,160°08.561 W,,,
1/20/18,Kauai,2,sandy,21°59.390 ,160°08.561 W,,,
2/6/18,Oahu,1,sandy,21°16.438 ,157°40.799 W,,,
2/6/18,Oahu,2,"sandy, seagrass",21°16.360 ,157°40.820 W,,,
2/6/18,Oahu,2,"sandy, seagrass",21°16.360 ,157°40.820 W,,,
2/6/18,Oahu,3,"sandy, seagrass",21°16.285 ,157°40.833 W,,,
2/6/18,Oahu,4,sandy,21°16.474 ,157°40.705 W,,,
2/6/18,Oahu,5,"sandy, seagrass",21°16.407 ,157°40.709 W,,,
2/6/18,Oahu,6,"sandy, seagrass",21°16.400 ,157°40.675 W,,,
2/20/18,Oahu,1,"sandy, seagrass",21°16.5271 ,157°40.726 W,,,
2/20/18,Oahu,2,"sandy, seagrass",21°16.466 ,157°40.742 W,,,
2/20/18,Oahu,2,"sandy, seagrass",21°16.466 ,157°40.742 W,,,
2/20/18,Oahu,3,"sandy, seagrass",21°16.419 ,157°40.732 W,,,
2/20/18,Oahu,4,sandy,21°16.6801 ,157°40.669 W,,,
2/20/18,Oahu,4,sandy,21°16.6801 ,157°40.669 W,,,
2/20/18,Oahu,4,sandy,21°16.6801 ,157°40.669 W,,,
2/20/18,Oahu,5,"sandy, seagrass",21°16.4892 ,157°40.7819 W,,,
2/20/18,Oahu,5,"sandy, seagrass",21°16.4892 ,157°40.7819 W,,,
2/20/18,Oahu,6,"sandy, seagrass",,,,,
2/20/18,Oahu,8,sandy,21°16.7371 ,157°39.7530 W,,,
2/20/18,Oahu,9,sandy,21°16.6780 ,157°39.7516 W,,,
3/4/18,Oahu,1,sandy,21°29.422 ,158°14.576 W,,,
3/4/18,Oahu,2,sandy,21°29.513 ,158°14.559 W,,,
3/4/18,Oahu,3,sandy,21°29.551 ,158°14.441 W,,,
3/4/18,Oahu,4,sandy,21°29.494 ,158°14.377 W,,,
3/4/18,Oahu,5,sandy,21°29.389 ,158°14.470 W,,,
3/4/18,Oahu,6,sandy,21°29.612 ,158°14.484 W,,,
3/4/18,Oahu,7,sandy,21°29.498 ,158°14.556 W,,,
3/4/18,Oahu,10,sandy,21°29.746 ,158°14.573 W,,,
3/11/18,Oahu,1,sandy,21°29.309 ,158°14.591 W,,,
3/11/18,Oahu,2,sandy,21°29.422 ,158°14.572 W,,,
3/11/18,Oahu,3,sandy,21°29.515 ,158°14.556 W,,,
3/11/18,Oahu,4,sandy,21°29.332 ,158°14.559 W,,,
3/11/18,Oahu,5,sandy,21°29.485 ,158°14.559 W,,,
3/11/18,Oahu,6,sandy,21°29.687 ,158°14.558 W,,,
3/24/18,Big Island,2,sandy,19°48.224 ,156°01.766 W,,,
3/24/18,Big Island,3,sandy,19°48.219 ,156°01.802 W,,,
3/24/18,Big Island,4,sandy,19°48.305 ,156°01.664 W,,,
3/24/18,Big Island,6,sandy,19°48.195 ,156°01.816 W,,,
3/24/18,Big Island,8,hard sand,19°48.500 ,156°01.331 W,,,
3/24/18,Big Island,13,sandy,19°48.085 ,156°02.145 W,,,
3/28/18,Oahu,1,sandy,21°16.804 ,157°39.720 W,,,
3/28/18,Oahu,2,sandy,21°16.730 ,157°39.686 W,,,
3/28/18,Oahu,3,sandy,21°16.696 ,157°39.662 W,,,
3/28/18,Oahu,4,sandy,21°16.735 ,157°39.765 W,,,
3/28/18,Oahu,5,sandy,21°16.664 ,157°39.729 W,,,
3/28/18,Oahu,6,sandy,21°16.837 ,157°39.849 W,,,
3/28/18,Oahu,7,sandy,21°16.560 ,157°39.800 W,,,
3/28/18,Oahu,9,sandy,21°16.523 ,157°40.703 W,,,
3/28/18,Oahu,10,"sandy, seagrass",21°16.463 ,157°40.691 W,,,
4/9/18,Oahu,2,sandy,21°25.382 ,158°11.620 W,,,
4/9/18,Oahu,3,sandy,21°25.389 ,158°11.630 W,,,
4/9/18,Oahu,4,sandy,21°25.313 ,158°11.971 W,,,
