Date,Island,Latitude,Longitude,Set,Depth (fa),Carapace Length (in),Sex
11/20/17,Oahu,21°28.325 ,157°45.975 ,1,26,4.2,F
11/20/17,Oahu,21°28.325 ,157°45.975 ,2,30,,
11/20/17,Oahu,21°28.325 ,157°45.975 ,3,17.5,,
11/20/17,Oahu,21°28.325 ,157°45.975 ,4,17,4.3,M
11/20/17,Oahu,21°28.325 ,157°45.975 ,5,17,4.3,F
11/20/17,Oahu,21°28.325 ,157°45.975 ,5,17,4,F
11/20/17,Oahu,21°28.325 ,157°45.975 ,6,17,4.6,F
12/8/17,Oahu,21°16.497 ,157°40.783 ,1,15,3.7,F
12/8/17,Oahu,21°16.497 ,157°40.783 ,1,15,3.6,F
12/8/17,Oahu,21°16.497 ,157°40.783 ,1,15,4,F
12/8/17,Oahu,21°16.497 ,157°40.783 ,1,15,4,F
12/8/17,Oahu,21°16.497 ,157°40.783 ,1,15,3,M
12/8/17,Oahu,21°16.497 ,157°40.783 ,1,15,4,F
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4.5,M
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4.5,M
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4.2,M
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,5,F
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4,F
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4.3,F
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4,M
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4,F
12/8/17,Oahu,21°16.438  ,157°40.794 ,2,17,4.2,F
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,3.9,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,6,m
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4.1,m
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4,f
12/8/17,Oahu,21°16.438  ,157°40.794 ,3,17,4,f
