"","Date","Island","Set","new_lat","new_long","no_crabs","mean_length","mean_depth","bottom"
"1","1/10/18","Oahu",1,21.2881166666667,158.006166666667,1,NA,16.6,"seaweed"
"2","1/10/18","Oahu",2,21.2904333333333,158.015633333333,1,NA,15.6,"sandy"
"3","1/10/18","Oahu",3,21.2891666666667,158.002083333333,1,NA,13.3,"seagrass and algae"
"4","1/10/18","Oahu",4,21.29055,158.003333333333,2,3.85,10.5,"sandy"
"5","1/10/18","Oahu",5,21.2899833333333,158.008866666667,1,NA,14.6,NA
"6","1/10/18","Oahu",6,21.2908166666667,158.004966666667,1,NA,11.1,NA
"7","1/10/18","Oahu",7,21.2905166666667,158.005066666667,2,3.4,11,NA
"8","1/11/18","Oahu",1,21.4410666666667,158.197383333333,9,3.61111111111111,12,NA
"9","1/11/18","Oahu",2,21.4405166666667,158.20035,12,4.01666666666667,17,"sandy"
"10","1/11/18","Oahu",3,21.4430166666667,158.1974,5,4.02,12,"sandy, seagrass"
"11","1/11/18","Oahu",4,21.4728,158.2314,8,3.525,8.3,"sandy"
"12","1/11/18","Oahu",5,21.5295,158.232333333333,3,3.83333333333333,10,NA
"13","1/15/18","Oahu",1,21.4723333333333,158.2331,14,3.42857142857143,25,NA
"14","1/15/18","Oahu",2,21.4708,158.228233333333,13,3.36384615384615,15,"sandy"
"15","1/15/18","Oahu",3,21.47175,158.23095,7,3.82428571428571,19,"sandy"
"16","1/15/18","Oahu",4,21.4735333333333,158.231883333333,11,3.78272727272727,25,"hard sand"
"17","1/16/18","Oahu",1,21.4733166666667,158.227766666667,9,NA,8,"sandy"
"18","1/16/18","Oahu",2,21.4425833333333,158.195783333333,13,3.48538461538462,6,"hard sand"
"19","1/16/18","Oahu",3,21.44245,158.193583333333,5,NA,12,"sandy"
"20","1/16/18","Oahu",4,21.44245,158.193583333333,22,3.94454545454545,12,NA
"21","1/20/18","Kauai",1,21.98585,160.141033333333,1,NA,40,"rubble seaweed"
"22","1/20/18","Kauai",2,21.9898333333333,160.142683333333,53,2.99716981132075,39,"sandy"
"23","1/20/18","Kauai",3,21.9921833333333,160.146633333333,43,4.25790697674419,47,NA
"24","1/20/18","Kauai",4,21.99135,160.1455,36,3.59583333333333,44,NA
"25","1/20/18","Kauai",5,21.9891166666667,160.1456,36,3.84861111111111,40.9,NA
"26","1/20/18","Kauai",6,21.9916666666667,160.14925,36,4.11388888888889,48.5,NA
"27","1/20/18","Kauai",7,21.9911666666667,160.147233333333,36,3.31388888888889,45.5,NA
"28","1/20/18","Kauai",8,21.9904166666667,160.149733333333,36,3.81111111111111,47.2,NA
"29","1/23/18","Oahu",1,21.25,157.74135,1,NA,23.4,NA
"30","1/23/18","Oahu",2,21.25,157.74135,1,NA,20.6,NA
"31","1/23/18","Oahu",3,21.25,157.74135,1,NA,20,NA
"32","11/20/17","Oahu",1,21.4720833333333,157.76625,1,4.2,26,NA
"33","11/20/17","Oahu",2,21.4720833333333,157.76625,1,NA,30,NA
"34","11/20/17","Oahu",3,21.4720833333333,157.76625,1,NA,17.5,NA
"35","11/20/17","Oahu",4,21.4720833333333,157.76625,1,4.3,17,NA
"36","11/20/17","Oahu",5,21.4720833333333,157.76625,2,4.15,17,NA
"37","11/20/17","Oahu",6,21.4720833333333,157.76625,1,4.6,17,NA
"38","12/16/17","Maui",1,20.94815,156.489283333333,2,3.3,22,"sandy, rubble"
"39","12/16/17","Maui",2,20.9483166666667,156.49085,2,2.05,20,"sandy -strong bottom current"
"40","12/16/17","Maui",3,20.94765,156.489616666667,5,3.92,20,NA
"41","12/16/17","Maui",4,20.9512166666667,156.494633333333,2,2.5,20,NA
"42","12/16/17","Maui",5,20.9504,156.4933,2,3.55,21,"sandy"
"43","12/16/17","Maui",6,20.9496666666667,156.491733333333,11,3.31818181818182,21,"sandy -strong bottom current"
"44","12/16/17","Maui",7,20.9487,156.490416666667,1,NA,20,"rock and rubble"
"45","12/16/17","Maui",8,20.9474,156.491533333333,12,3.38333333333333,20,NA
"46","12/16/17","Maui",9,20.94735,156.487616666667,1,NA,20,"coral bottom"
"47","12/16/17","Maui",10,20.95045,156.49045,11,3.93636363636364,20,"sandy"
"48","12/16/17","Maui",11,20.9485666666667,156.488533333333,3,3.36666666666667,21,NA
"49","12/16/17","Maui",12,20.9515333333333,156.496683333333,12,NA,20,NA
"50","12/16/17","Maui",13,20.9477333333333,156.491666666667,2,NA,21,NA
"51","12/16/17","Maui",14,20.9503,156.495216666667,7,NA,20,NA
"52","12/16/17","Maui",15,20.94875,156.494483333333,1,4.3,20,NA
"53","12/8/17","Oahu",1,21.27495,157.679716666667,6,3.71666666666667,15,"sandy"
"54","12/8/17","Oahu",2,21.2739666666667,157.6799,9,4.3,17,"sandy, seagrass"
"55","12/8/17","Oahu",3,21.2739666666667,157.6799,19,4.06842105263158,17,"sandy"
"56","12/8/17","Oahu",4,21.2754683333333,157.678961666667,15,3.5,15,"sandy"
"57","12/8/17","Oahu",5,21.2745016666667,157.679685,6,3.93333333333333,16,"sandy"
"58","12/8/17","Oahu",6,21.2743333333333,157.67885,2,3.9,16,"sandy"
"59","12/8/17","Oahu",7,21.2748133333333,157.678688333333,4,3.825,15.5,"sandy, seagrass"
"60","2/20/18","Oahu",1,21.2754516666667,157.678766666667,18,3.31444444444444,16.1,"sandy, seagrass"
"61","2/20/18","Oahu",2,21.2744333333333,157.679033333333,6,3.92166666666667,16.1,"sandy, seagrass"
"62","2/20/18","Oahu",3,21.27365,157.678866666667,3,3.42,16,"sandy, seagrass"
"63","2/20/18","Oahu",4,21.2780016666667,157.677816666667,24,3.08708333333333,13.5,"sandy"
"64","2/20/18","Oahu",5,21.27482,157.679698333333,1,5.05,15.7,"sandy, seagrass"
"65","2/20/18","Oahu",7,21.2803266666667,157.662985,5,4.378,15.4,NA
"66","2/20/18","Oahu",8,21.2789516666667,157.66255,4,3.94,17.6,NA
"67","2/20/18","Oahu",9,21.2779666666667,157.662526666667,5,3.572,17.9,NA
"68","2/6/18","Oahu",1,21.2739666666667,157.679983333333,7,4.22142857142857,16.4,"sandy"
"69","2/6/18","Oahu",2,21.2726666666667,157.680333333333,1,4.76,17.5,"sandy, seagrass"
"70","2/6/18","Oahu",3,21.2714166666667,157.68055,8,3.645,17.9,"sandy, seagrass"
"71","2/6/18","Oahu",4,21.2745666666667,157.678416666667,6,3.98666666666667,16.4,"sandy"
"72","2/6/18","Oahu",5,21.27345,157.678483333333,4,3.625,16.8,"sandy, seagrass"
"73","2/6/18","Oahu",6,21.2733333333333,157.677916666667,5,NA,17.5,"sandy, seagrass"
"74","2/6/18","Oahu",7,21.2745,157.676883333333,1,NA,17.5,NA
"75","2/6/18","Oahu",8,21.2763166666667,157.67845,12,3.39166666666667,15,NA
"76","2/6/18","Oahu",9,21.271,157.67985,1,4.23,18.2,NA
"77","3/11/18","Oahu",1,21.4884833333333,158.243183333333,1,4.12,40,NA
"78","3/11/18","Oahu",2,21.4903666666667,158.242866666667,5,3.746,30,NA
"79","3/11/18","Oahu",3,21.4919166666667,158.2426,5,3.488,30,NA
"80","3/11/18","Oahu",4,21.4888666666667,158.24265,6,3.77666666666667,31,NA
"81","3/11/18","Oahu",5,21.4914166666667,158.24265,5,3.4,30,NA
"82","3/11/18","Oahu",6,21.4947833333333,158.242633333333,11,3.65454545454545,30,NA
"83","3/11/18","Oahu",7,21.4981666666667,158.243083333333,2,3.45,36,NA
"84","3/11/18","Oahu",9,21.4975666666667,158.242866666667,2,4.125,30,NA
"85","3/24/18","Big Island",1,19.8016833333333,156.031716666667,4,4.075,18,NA
"86","3/24/18","Big Island",2,19.8037333333333,156.029433333333,5,3.31,18,NA
"87","3/24/18","Big Island",3,19.80365,156.030033333333,22,NA,19,NA
"88","3/24/18","Big Island",4,19.8050833333333,156.027733333333,21,NA,18,NA
"89","3/24/18","Big Island",5,19.8057,156.026466666667,31,NA,18,NA
"90","3/24/18","Big Island",6,19.80325,156.030266666667,1,3.4,18,NA
"91","3/24/18","Big Island",7,19.80725,156.02375,5,NA,18,NA
"92","3/24/18","Big Island",8,19.8083333333333,156.022183333333,1,5.05,18,NA
"93","3/24/18","Big Island",9,19.7973166666667,156.038383333333,16,3.625,19,NA
"94","3/24/18","Big Island",10,19.7980666666667,156.03745,8,3.8125,18,NA
"95","3/24/18","Big Island",11,19.7986333333333,156.036083333333,1,NA,18,NA
"96","3/24/18","Big Island",12,19.7998166666667,156.035133333333,2,3.85,18,NA
"97","3/24/18","Big Island",13,19.8014166666667,156.03575,13,3.88461538461538,22,NA
"98","3/24/18","Big Island",14,19.8023666666667,156.035283333333,3,1.7,24,NA
"99","3/24/18","Big Island",15,19.7997833333333,156.036,18,NA,24,NA
"100","3/24/18","Big Island",16,19.8007833333333,156.0331,18,NA,19,NA
"101","3/28/18","Oahu",1,21.2800666666667,157.662,1,4.54,15,NA
"102","3/28/18","Oahu",2,21.2788333333333,157.661433333333,3,3.42666666666667,18,NA
"103","3/28/18","Oahu",3,21.2782666666667,157.661033333333,1,NA,19,NA
"104","3/28/18","Oahu",4,21.2789166666667,157.66275,1,NA,17,NA
"105","3/28/18","Oahu",5,21.2777333333333,157.66215,1,NA,19,NA
"106","3/28/18","Oahu",6,21.2806166666667,157.66415,2,3.4,14.5,NA
"107","3/28/18","Oahu",7,21.276,157.663333333333,1,NA,19,NA
"108","3/28/18","Oahu",8,21.2763333333333,157.6786,6,3.15833333333333,14.3,NA
"109","3/28/18","Oahu",9,21.2753833333333,157.678383333333,3,4.67,15.4,NA
"110","3/28/18","Oahu",10,21.2743833333333,157.678183333333,5,3.756,17.6,NA
"111","3/28/18","Oahu",11,21.2762166666667,157.680166666667,4,4.0275,14.5,NA
"112","3/28/18","Oahu",12,21.2745333333333,157.6801,9,4.14555555555556,15.4,NA
"113","3/28/18","Oahu",13,21.2745833333333,157.67975,1,NA,15.9,NA
"114","3/28/18","Oahu",14,21.2722,157.681116666667,1,NA,14,NA
"115","3/4/18","Oahu",1,21.4903666666667,158.242933333333,13,3.74923076923077,35,NA
"116","3/4/18","Oahu",2,21.4918833333333,158.24265,9,3.68777777777778,30,NA
"117","3/4/18","Oahu",3,21.4925166666667,158.240683333333,8,3.85875,20,NA
"118","3/4/18","Oahu",4,21.4915666666667,158.239616666667,1,NA,16,NA
"119","3/4/18","Oahu",5,21.4898166666667,158.241166666667,1,4.39,20,NA
"120","3/4/18","Oahu",6,21.4935333333333,158.2414,1,3.62,26,NA
"121","3/4/18","Oahu",7,21.4916333333333,158.2426,3,3.22,30,NA
"122","3/4/18","Oahu",8,21.49125,158.242616666667,7,3.24,31,NA
"123","3/4/18","Oahu",9,21.49625,158.242733333333,3,3.31333333333333,35,NA
"124","3/4/18","Oahu",10,21.4957666666667,158.242883333333,4,3.4075,35,NA
"125","3/4/18","Oahu",11,21.4870333333333,158.243133333333,3,3.42,35,NA
"126","3/4/18","Oahu",12,21.4946833333333,158.24335,3,3.20333333333333,36,NA
